Nom_site;Typologie_intervention_ADEME;Commune;Code_INSEE;Activites_historiques_site;Description_activites;Surface_site_m2;Superficie_bati_m2;Arrete_Prefectoral_Travaux_Office;Numeros_parcelles_cadastrales;Resume_intervention_ADEME;Liens_vers_BASOL_BASIAS;Usage_actuel_site;Region;Departement;CoordXLambert2Etendue;CoordYLambert2Etendue;Etat_operation;fiches_export
ARDENITY;Gestion et élimination de déchets;Givet;8190;Matériaux isolants (Fabrication, Production);A parti des années 1980, le site a accueilli diverses activités : traitement de surfaces des métaux, fabrication de colles et adhésifs à  base de solvants organiques, fabrication par synthèse de l'acide sulfanilique. En 2006, ARDENITY exploite le site concentrant son activité sur la fabrication de l'acide sulfanilique mais mène également une activité de préparation de pâtes isolantes pour câbles électriques ainsi que des mélanges et préparations de poudres de peinture. La société a cessé toute activité et a été placée en liquidation judiciaire par le tribunal de commerce de Sedan le 9 décembre 2010.;19700;7000;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 08 avril 2013 qui confiait à  l'agence diverses opérations d'évacuation et élimination des déchets abandonnés sur le site.;000AY34-000AY37-000AY57-000AY64 000AY67-000AY70-000AY72-000AY91;En 2006, ARDENITY exploite le site concentrant son activité sur la fabrication de l'acide sulfanilique mais mène également une activité de préparation de pâtes isolantes pour câbles électriques ainsi que des mélanges et préparations de poudres de peinture. La société a cessé toute activité et a été placée en liquidation judiciaire par le tribunal de commerce de Sedan le 9 décembre 2010. En l'absence de responsables solvables, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 643T de déchets dont 597T de déchets dangereux au regard de la réglementation ont été évacués et éliminés dans les filières autorisées. La mise en sécurité de ce site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;http//basol.developpement-durable.gouv.fr/fiche.php?page=6&index_sp=08.0080;Friche;Grand-Est;8;777397,3;2574527,8;Terminée;ARDENITY_08190_10112020.pdf
ATELIERS DE BADAN;Gestion et élimination de déchets, Investigations environnementales;Grigny;69096;Ateliers mécaniques;En 1984, la société des ATELIERS DE BADAN s'est déclarée au titre de la législation sur les ICPE pour des activités de dégazage et lavage de réservoirs , ré-épreuve de réservoirs , sablage et peinture , transformation du matériel roulant. Ce site s'étendant sur presque 55 ha a été aménagé dès les années 1880 comme gare de triage et dépôt de machines ferroviaires. A partir de 1976 jusqu'en mars 2010, date de mise en liquidation des ATELIERS DE BADAN, différents exploitants se sont succédés pour exercer des activités d'entretien et de réparation de wagons citernes.;550000;12000;;69096000AS102;;;non renseigné;Auvergne-Rhone-Alpes;69;791155,3;2069936,3;Terminée;ATELIERS DE BADAN_69096_14042020.pdf
ATLAS INNOVATION;Gestion et élimination de déchets, Investigations environnementales, Surveillance des milieux;Issé;44075;Plastique (Fabrication, Production, Transformation, Utilisation);De 1958 à  2003 la société Atlas Plastique exerce une activité d'enduction plastique sur tissu et calandrage à  partir de résine de PVC et de polyuréthane. La société dépend d'abord du groupe SALPA jusqu'au choc pétrolier de 1973, puis elle est cédée au groupe Hutchinson jusqu'en 1981. Elle est reprise ensuite par différents groupes industriels, puis par différentes holding financières jusqu'en juillet 2002, oà¹ la société Atlas dépose le bilan. Le 7 septembre 2006, la société Atlas Innovations est mise en liquidation judiciaire et le matériel est vendu aux enchères en avril 2007. Dans le rapport de cessation d'activité d'août 2007, le bureau d'étude signale le grand décalage existant du point de vue de la nomenclature des Installations Classées pour le Protection de l'Environnement. Le rapport précise en outre que le site aurait du être classé SEVESO au titre de la rubrique 1131-2 relative à  l'emploi et le stockage de substances et préparations toxiques liquides supérieur à  200 tonnes.;71000;32000;La mission de l'ADEME était encadrée par 2 arrêtés préfectoraux de travaux d'office en date du 04 novembre 2010 et en date du 28 mai 2008 qui confiaient à  l'agence l'évacuation et élimination des déchets dangereux présents sur le site dont intervention sur les cuves et la réalisation d'investigations environnementales sur le site et aux alentours proches (extérieur du site selon démarche d'interprétation de l'état des milieux);000AC162-000AC163-000AC164-000AC210-000AC211-000AC32-000AC31;Diverses sociétés ont mené une activité d'enduction plastique sur tissu et calendrage à  partir de résine PVC et de polyuréthane (depuis 1958 jusqu'au début des années 2000). ATLAS INNOVATION a été placée en liquidation judiciaire en septembre 2006 et les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 830 T de déchets dont 500 T de déchets considérés comme dangereux au sens de la réglementation ont été éliminés en filière agréée et des investigations environnementales ont été menées. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;https//basol.developpement-durable.gouv.fr/fiche.php?page=1&index_sp=44.0114;non renseigné;Pays-de-la-Loire;44;315310,9;2298072,7;Terminée;ATLAS_INNOVATIONS_44075_08102020.pdf
AUREATEX;Gestion et élimination de déchets;Saulce-sur-rhone;8402;Textile, Teinturerie (production, préparation);La SAS AUREATEX exerà§ait une activité de la préparation de fibres textiles et de filature sous le régime de la déclaration ICPE au regard de la rubrique Â«Â Atelier de moulinageÂ». Fin 2004, AUREATEX a pris la suite de la SA NOUVELLE CHAVANOZ, exploitant depuis 1987 une usine de moulinage à  Saulce sur Rhône, (26) 8 route du Pouzin. AUREATEX a été liquidée en janvier 2013 et l'ensemble des activités exercées sur le site a dès lors cessé.;28100;13500;;08402000AB233;;;non renseigné;Auvergne-Rhone-Alpes;26;795167,9;1970313,9;Terminée;AUREATEX_26337_21042020.pdf
BAUDOU;Gestion et élimination de déchets, Investigations environnementales;Les églisottes-et-Chalaures;33154;Plastique (Fabrication, Production, Transformation, Utilisation);Ancien site industriel de fabrication de chaussures situé sur les rives de la Dronne et sur lequel se sont succédées plusieurs sociétés de 1983 à  1999. De 1983 à  1990, la Cie Industrielle du Sud-Ouest, puis la société nouvelle Baudou SA ont fabriqué des bottes en caoutchouc, des brodequins en caoutchouc, des chaussures de sécurité polyuréthane, des bottes en P.V.C, des sabots en P.V.C et des brodequins en P.V.C. De 1990 à  1993, Baudou SA produisait les mêmes produits ainsi que des bottes en polyuréthane. Enfin, de 1993 à  1996 la botte BAUDOU SA continuait cette gamme de production mais arrêtait les productions en caoutchouc en juin 1995.;45200;8000;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 13 mai 2014 qui confiait à  l'agence les opérations de gestion des déchets industriels du site au regard du risque de pollution de l'environnement et la réalisation d'investigations environnementales.;000AB109-000AB389-000AB390-000AB391-000AB224-000AB373-000ZA133-000ZA1;Ancien site industriel de fabrication de chaussures situé sur les rives de la Dronne et sur lequel se sont succédées plusieurs sociétés de 1983 à  1999 et qui ont fabriqué des bottes, chaussures, brodequins en caoutchouc, PVC, polyuréthane â€¦ En 1999, la société BAUDOU quitte le site qui est vendu à  une personne privée mais reste à  l'état de friche et se dégrade. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'aboutir à  une mise en sécurité complète du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a sollicité une intervention de l'ADEME. Dans ce cadre, 56 T de déchets dont 36 T considérés comme dangereux au regard de la réglementation ont été évacués et éliminés dans les filières agréées. Les investigations environnementales engagées n'ont pas mis en évidence d'impacts significatifs Â« hors site Â». La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;non renseigné;Nouvelle-Aquitaine;33;413060,6;2014069,8;Terminée;BAUDOU_33154_06102020.pdf
MEGISSERIE CARAYOL;Gestion et élimination de déchets;Mazamet;81163;Tannerie, Mégisserie (production, préparation);Anciennes activités de tanneries, mégisseries, délainage, préparation des cuirs et des peaux. La société du moulin de la Resse est rachetée en 1982 par la société CARS CUIR. A la suite de plaintes de riverains en 1984, la société a été sommée de réaliser une station d'épuration des effluents. La société CARAS CUIR a été mise en liquidation en 1994 puis la société Moulin de la Resse propriétaire du site en 2003 dirigée par la même personne.;3140;1900;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office (APTO du 17/11/2011) qui confiait à  l'agence la gestion et le traitement des déchets industriels présentant un risque de pollution de l'environnement et d'impacts sur les personnes.;000AD345;La dénomination des Mégisseries CARAYOL regroupe d'anciennes activités de tanneries, délainage, préparation des cuirs et des peaux qui ont été menées par les sociétés MOULIN DE LA RESSE et CARASCUIR à  partir des années 60. La société CARASCUIR a été mise en liquidation judiciaire en 1994 et la société MOULIN DE LA RESSE (propriétaire du site) a été mise en liquidation judiciaire en 2003. Les actions de l'administration à  l'encontre de l'ancien exploitant et de la liquidation n'ont pas permis d'assurer la mise en sécurité du site. En accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité.Dans ce cadre, 138T de déchets dont 95T de déchets dangereux au regard de la réglementation ont été évacués et éliminés dans les filières agréées. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;non renseigné;Occitanie;81;603227,5;1831063,4;Terminée;CARAYOL_81163_11052020.pdf
CHABROUD GALVA;Gestion et élimination de déchets;Saint-Georges-d'Espéranche;38389;Traitement de surface, Revêtements, Application peintures;La société CHABROUD GALVA a démarré une activité de galvanisation de métaux en 1959. Elle était régulièrement autorisée par arrêtés préfectoraux nÂ°94-205 du 18/01/1994 et nÂ°2001-6645 du 21/08/2001. Depuis le 21/02/2001, la société a fait l'objet d'un redressement judiciaire. Le rapport d'inspection datant du 28/05/2001, indiquait que les rétentions étaient inadaptées et que la présence sur le sol de traces de déversements pouvant être à  l'origine de pollution était avérée.;19600;3800;;000AH406-000AH407-000AH408-000AH409-000AH410-000AH411-000AH412-000AH412-000AH413-000AH414-000AH415-000AH416-000AH417-000AH418-000AH419-000AH420-000AH421-000AH422-000AH423-000AH424-000AH425-000AH426-000AH253;;;Activité industrielle ou artisanale non ICPE;Auvergne-Rhone-Alpes;38;814639,9;2065639,8;Terminée;CHABROUG_38389_03042020.pdf
CORMENIER;Gestion et élimination de déchets, Investigations environnementales;Saint-Claud;16308;Bois (Transformation, Utilisation, Traitement);L'entreprise était installée depuis 1977 et était spécialisée dans la fabrication de charpentes en bois lamellé collé et avait fait l'objet d'un AP d'exploiter en octobre 2003. En 2006 plusieurs incidents ont eu lieu sur le site avec notamment le déversement de conteneurs et produits de traitement du bois.;non renseigné;non renseigné;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 28 novembre 2016 qui confiait à  l'agence l'évacuation des déchets industriels du site présentant un risque de pollution et la réalisation d'investigations environnementales.;000F534 000F535;L'entreprise CORMENIER était spécialisée dans la fabrication de charpentes en bois lamellé collé. En 2006, plusieurs incidents ont eu lieu sur le site avec notamment le déversement de conteneurs et produits de traitement du bois. L'entreprise a été placée en liquidation judiciaire en juin 2010 et les actions de l'administration à  l'encontre des responsables n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement la préfecture a sollicité l'ADEME en vue d'assurer les opérations nécessaires de mise en sécurité. Dans ce cadre, plus 124 T de déchets dont 90 T de déchets dangereux au regard de la réglementation ont été évacués et éliminés dans les filières agréées. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;non renseigné;Nouvelle-Aquitaine;16;454476,3;2101767,9;Terminée;CORMENIER_38389_03042020.pdf
DESCHAMPS;Gestion et élimination de déchets;Echauffours;61150;Agroalimentaire et Agriculture (Production, Fabrication, Transformation);Fabrication de produits laitiers (y compris beurre, glaces et sorbets), activité de laiterie. Un dépôt de liquides inflammables (2 réservoirs aériens de 25 000 litres, 2 réservoirs souterrains de 8000 litres, 1 réservoir souterrain de 6000 litres) était présent sur site pour alimenter une chaudière produisant de la vapeur utilisée pour pasteurisation du lait.;1870;1000;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 12 mai 2011 chargeant l'agence de la gestion de 2 réservoirs à  fuel de l'ancienne laiterie et par extension le nettoyage de la rétention et des sols contigus impactés par les hydrocarbures.;000BH114 000BH122;L'activité de la société DESCAMPS était la fabrication de produits laitiers (y compris beurre, glaces et sorbets). L'entreprise disposait d'un dépôt de liquides inflammables (2 réservoirs aériens de 25 000 litres, 2 réservoirs souterrains de 8000 litres, 1 réservoir souterrain de 6000 litres) pour alimenter une chaudière produisant de la vapeur utilisée pour pasteurisation du lait. La société a été placée en liquidation judiciaire et les actions de l'administration à  l'encontre des responsables n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture a chargé l'agence de cette mise en sécurité. Dans ce cadre, 36T de déchets ont été évacués et traités dans les filières agréées.;;non renseigné;Normandie;61;457182,9;2414465,1;En cours;DESCHAMPS_61150_31082020.pdf
DUBOURG;Gestion et élimination de déchets;Athis de l'Orne;61007;Traitement de surface, Revêtements, Application peintures;La SARL DUBOURG et Fils était spécialisée dans la réalisation de revêtements de pièces diverses par application de peintures avec solvants, poudres époxy ou peintures à  l'eau désionisée comprenant des chaines de traitement de surface et d'application de peinture (par cabine de peinture) et une unité de sablage. ;7720;3500;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 29 août 2017 chargeant l'agence de la gestion des déchets dangereux abandonnés sur le site ainsi que de la gestion des fosses et cuves et la sécurité en fin de travaux de certains espaces (notamment fosses).;000A829 000A831 000A832 000A833 000A834 000A835 000A875;La SARL DUBOURG et Fils était spécialisée dans la réalisation de revêtements de pièces diverses par application de peintures avec solvants, poudres époxy ou peintures à  l'eau désionisée et comprenait des chaînes de traitement de surface et d'application de peinture (par cabine de peinture) et une unité de sablage. A la suite de difficultés financières, la société a été placée en liquidation judiciaire le 11 juillet 2013. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture a chargé l'ADEME de cette mise en sécurité. Des opérations sont toujours en cours sur ce site.;;non renseigné;Normandie;61;389497,1;2428921,5;En cours;DUBOURG_14656_02092020.pdf
